time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,0.163694807831,5.00074864324,10.4759657508,0.308342671111,0.959514243178,0.0599276666682,2.43614068281,0.0434471175126,7.8461643513,4.70635823106,3.79738441064,0.99627381541,454.2252208129658,454.460095069666,455.44473554189886,457.5209053680833
0.12000000000000001,0.289846262685,5.00681750101,10.9384508586,0.600277395348,1.18925997029,0.119632283039,1.75675625407,0.162470588936,7.54614052291,4.39769620295,3.61294760306,0.992575313711,457.3287090398716,457.41303031969954,458.70743748942886,456.57786007575044
0.18,0.369737442574,5.02054845066,11.3793429746,0.867615773613,1.40761946321,0.179115504548,0.899949969041,0.284793791219,7.12671277813,4.17930579195,3.43667953872,0.988904187421,495.0852102685849,494.4868542507542,492.88393984243305,495.15165000778694
0.23999999999999996,0.402677078926,5.0382654503,11.7905283055,1.12119894125,1.61587155536,0.238378968259,0.197637867683,0.290279526968,6.56909631228,3.97398195861,3.24884789106,0.9852601336,442.44117343466115,439.4637503297959,440.7892512263625,442.4425255161918
0.3,0.395145586069,5.05304929671,12.1667977362,1.36142958452,1.81142483768,0.297424293134,-0.445977176372,0.185817390054,5.97151473863,3.79215823967,3.10129135154,0.981642853759,425.3716569001796,424.42449601636486,424.3090350886566,426.22943034452976
0.36000000000000004,0.345189949772,5.05691407885,12.5071673729,1.59047003777,1.99796610925,0.356253080302,-1.21180112647,-0.0773094392912,5.38038734989,3.61759848791,2.95946857713,0.978052053785,475.3399925568643,473.9769030333378,473.11414442088704,473.9659822253114
0.4200000000000001,0.252899215755,5.0420882441,12.8138082735,1.80828474142,2.17553285129,0.414866913318,-1.85384145244,-0.430629455629,4.85300417672,3.46522492557,2.83749050892,0.974487443857,454.63971383599613,453.9237627247999,453.0654190442707,454.4048032444791
0.48000000000000015,0.12360852717,5.00314013037,13.091699614,2.01694149261,2.34553026382,0.473267358418,-2.4417855019,-0.874973318843,4.42633961454,3.31347020959,2.7295267816,0.970948738371,465.0888667493392,464.78577003289143,464.61416376615716,464.85658412559536
0.5400000000000001,-0.0374015762579,4.9371276058,13.3470920082,2.21786060454,2.50891339601,0.531455964776,-2.91059576913,-1.32551274609,4.1032630247,3.12428675026,2.63137354167,0.967435655859,456.3820605856851,456.24585906945066,457.6764019680104,453.7668890561558
0.6000000000000002,-0.223514774823,4.84453436806,13.5863364481,2.40557312096,2.66633824856,0.589434264746,-3.27873515471,-1.75582257389,3.88708874938,2.990671745,2.53938211645,0.96394791892,454.80371096868487,454.6179453648106,455.3665865363465,454.748926806921
0.6600000000000003,-0.428473001556,4.7279240137,13.8151391313,2.58506597281,2.81815157285,0.647203774105,-3.53961091286,-2.12231383229,3.75354231558,2.86607662749,2.45825102556,0.960485254143,447.17871626647025,447.38562989059983,446.6148864847337,445.8667044178692
0.7200000000000003,-0.647860809676,4.58883244874,14.0430042989,2.75649937478,2.96546796248,0.704765992294,-3.75547378786,-2.4982567603,3.85640632049,2.78196362624,2.3461094665,0.957047392036,500.24229272041634,497.7190111198359,497.776027158749,499.4323455006452
0.7800000000000004,-0.87556405467,4.43297893085,14.273370985,2.92307308198,3.10563188378,0.762122402651,-3.82156348232,-2.68305459026,3.83130334863,2.68034674967,2.27614538308,0.953634066958,429.5822003597091,429.712480111952,431.5827759857462,431.4637884026424
0.8400000000000004,-1.10455328125,4.26866510252,14.5053023219,3.08349225832,3.24158886826,0.819274472642,-3.79664225353,-2.77743488631,3.90448211961,2.58331545697,2.21023826582,0.950245017048,447.05118401979655,447.1643779942684,447.85355233423854,447.5246054439223
0.9000000000000005,-1.32971354,4.1022217155,14.7369196409,3.23812439893,3.37358757337,0.876223654081,-3.69737564124,-2.75834413481,3.81660708029,2.48358478111,2.14888932624,0.946879984158,387.75173937075044,387.960642935871,388.80359647341294,387.5439957906844
0.9600000000000005,-1.54579905002,3.93973328964,14.9663233937,3.38664198561,3.50190724082,0.93297138336,-3.49274458825,-2.64491117812,3.82543440783,2.39588960908,2.08514445013,0.943538713791,427.0586954883798,426.734716564545,426.77947171198514,426.1111362501627
1.0200000000000005,-1.74566752718,3.78745008805,15.1985035497,3.52980311402,3.62646836302,0.989519081663,-3.15600543669,-2.41902895687,3.90401885701,2.32288606321,2.00435394114,0.940220955032,467.863409895159,465.93163453903867,466.87448221563886,466.99061021835485
1.0800000000000005,-1.92237969058,3.65116953138,15.4337958542,3.66860698309,3.74625293467,1.04586815518,-2.72240881124,-2.11491272812,3.92664225041,2.24543128875,1.97231012356,0.936926460489,473.1849169334088,474.7637825833796,474.195915973724,473.61764025436014
1.1400000000000006,-2.07243864898,3.53341436336,15.6658621935,3.80276193276,3.86410855957,1.10201999531,-2.27038326825,-1.80605199137,3.79711026793,2.16836743632,1.88368443773,0.933654986228,446.61433614913864,443.4630850954174,445.5527937858545,444.6060969267323
1.2000000000000006,-2.19482279578,3.43401778802,15.8867684679,3.93225476262,3.97655313707,1.15797597889,-1.80215469899,-1.50593439361,3.55584750384,2.11344934485,1.83779828154,0.930406291714,426.3694250735338,426.42127423764185,426.09565531353763,426.66542809401983
1.2600000000000007,-2.28574206395,3.35400498364,16.0922919521,4.05847911925,4.08647661337,1.21373746837,-1.22150048075,-1.16218389948,3.28315070134,2.03879241028,1.81729658469,0.927180139756,454.4442064374968,456.3798651617908,454.5887730785844,453.26544048799025
